relative_time,AmbientLightSensor
0,1270.0125732421875
101,1270.0125732421875
201,1270.0125732421875
315,1270.0125732421875
415,1270.0125732421875
516,1270.0125732421875
632,1270.0125732421875
733,1270.0125732421875
834,1270.0125732421875
946,1270.0125732421875
1049,1270.0125732421875
1151,1270.0125732421875
1263,1270.0125732421875
1380,1270.0125732421875
1481,1270.0125732421875
1597,1270.0125732421875
1698,1270.0125732421875
1799,1270.0125732421875
1915,1270.0125732421875
2015,1270.0125732421875
2115,1270.0125732421875
2229,1270.0125732421875
2347,1270.0125732421875
2448,1270.0125732421875
2563,1270.0125732421875
2663,1270.0125732421875
2765,1270.0125732421875
2866,1270.0125732421875
2870,1088.0325927734375
2979,1088.0325927734375
3079,1287.967529296875
3080,1287.967529296875
3197,1287.967529296875
3298,1287.967529296875
3400,1287.967529296875
3512,1287.967529296875
3629,1287.967529296875
3730,1287.967529296875
3846,1287.967529296875
3947,1287.967529296875
4062,1287.967529296875
4164,1287.967529296875
4278,1287.967529296875
4379,1287.967529296875
4494,1287.967529296875
4611,1287.967529296875
4713,1287.967529296875
4828,1287.967529296875
4944,1287.967529296875
5045,1287.967529296875
5162,1287.967529296875
5264,1287.967529296875
5366,1287.967529296875
5476,1287.967529296875
5593,1287.967529296875
5694,1287.967529296875
5811,1287.967529296875
5867,1068.99755859375
5927,1068.99755859375
6028,1068.99755859375
6073,1289.9925537109375
6130,1289.9925537109375
6231,1289.9925537109375
6333,1289.9925537109375
6445,1289.9925537109375
6559,1289.9925537109375
6661,1289.9925537109375
6776,1289.9925537109375
6878,1289.9925537109375
6979,1289.9925537109375
7093,1289.9925537109375
7209,1289.9925537109375
7311,1289.9925537109375
7426,1289.9925537109375
7528,1289.9925537109375
7630,1289.9925537109375
7742,1289.9925537109375
7858,1289.9925537109375
7960,1289.9925537109375
8075,1289.9925537109375
8192,1289.9925537109375
8292,1289.9925537109375
8408,1289.9925537109375
8525,1289.9925537109375
8627,1289.9925537109375
8742,1289.9925537109375
8843,1289.9925537109375
8944,1289.9925537109375
9058,1289.9925537109375
9159,1289.9925537109375
9260,1289.9925537109375
9278,964.9800415039062
9362,964.9800415039062
9382,1068.99755859375
9463,1068.99755859375
9486,1288.9801025390625
9574,1288.9801025390625
9691,1288.9801025390625
9793,1288.9801025390625
9895,1288.9801025390625
10007,1288.9801025390625
10109,1288.9801025390625
10211,1288.9801025390625
10323,1288.9801025390625
10440,1288.9801025390625
10540,1288.9801025390625
10657,1288.9801025390625
10757,1288.9801025390625
10859,1288.9801025390625
10973,1288.9801025390625
11091,1288.9801025390625
11191,1288.9801025390625
11307,1288.9801025390625
11423,1288.9801025390625
11523,1288.9801025390625
11639,1288.9801025390625
11739,1288.9801025390625
11839,1288.9801025390625
11939,1288.9801025390625
12040,1288.9801025390625
12156,1288.9801025390625
12272,1288.9801025390625
12389,1288.9801025390625
12490,1288.9801025390625
12606,1288.9801025390625
12707,1288.9801025390625
12807,1288.9801025390625
12922,1288.9801025390625
13039,1288.9801025390625
13141,1288.9801025390625
13255,1288.9801025390625
13311,969.030029296875
13355,969.030029296875
13457,969.030029296875
13518,1248.007568359375
13558,1248.007568359375
13659,1248.007568359375
13760,1248.007568359375
13870,1248.007568359375
13988,1248.007568359375
14090,1248.007568359375
14204,1248.007568359375
14321,1248.007568359375
14422,1248.007568359375
14538,1248.007568359375
14639,1248.007568359375
14740,1248.007568359375
14853,1248.007568359375
14970,1248.007568359375
15071,1248.007568359375
15187,1248.007568359375
15289,1248.007568359375
15389,1248.007568359375
15504,1248.007568359375
15620,1248.007568359375
15722,1248.007568359375
15837,1248.007568359375
15938,1248.007568359375
16039,1248.007568359375
16153,1248.007568359375
16270,1248.007568359375
16371,1248.007568359375
16488,1248.007568359375
16590,1248.007568359375
16691,1248.007568359375
16802,1248.007568359375
16919,1248.007568359375
17020,1248.007568359375
17136,1248.007568359375
17252,1248.007568359375
17352,1248.007568359375
17452,1248.007568359375
17553,1248.007568359375
17653,1248.007568359375
17769,1248.007568359375
17870,1248.007568359375
17985,1248.007568359375
18102,1248.007568359375
18219,1248.007568359375
18320,1248.007568359375
18434,1248.007568359375
18551,1248.007568359375
18585,1092.0150146484375
18652,1092.0150146484375
18686,949.9950561523438
18768,949.9950561523438
18869,949.9950561523438
18985,949.9950561523438
19001,1201.9725341796875
19086,1201.9725341796875
19186,1201.9725341796875
19301,1201.9725341796875
19418,1201.9725341796875
19519,1201.9725341796875
19630,1201.9725341796875
19731,1201.9725341796875
19833,1201.9725341796875
19949,1201.9725341796875
20066,1201.9725341796875
20167,1201.9725341796875
20283,1201.9725341796875
20400,1201.9725341796875
20501,1201.9725341796875
20617,1201.9725341796875
20733,1201.9725341796875
20835,1201.9725341796875
20949,1201.9725341796875
21050,1201.9725341796875
21152,1201.9725341796875
21264,1201.9725341796875
