relative_time,AmbientLightSensor
0,2431.0126953125
108,2431.0126953125
224,2431.0126953125
341,2431.0126953125
458,2431.0126953125
559,2431.0126953125
675,2431.0126953125
790,2431.0126953125
892,2431.0126953125
1006,2431.0126953125
1107,2431.0126953125
1207,2431.0126953125
1324,2431.0126953125
1423,2431.0126953125
1524,2431.0126953125
1639,2431.0126953125
1740,2431.0126953125
1840,2431.0126953125
1956,2431.0126953125
2056,2431.0126953125
2156,2431.0126953125
2273,2431.0126953125
2390,2431.0126953125
2490,2431.0126953125
2606,2431.0126953125
2706,2431.0126953125
2807,2431.0126953125
2923,2431.0126953125
3026,2076.030029296875
3038,2076.030029296875
3130,2457.0
3139,2457.0
3239,2457.0
3339,2457.0
3440,2457.0
3556,2457.0
3656,2457.0
3756,2457.0
3872,2457.0
3988,2457.0
4088,2457.0
4203,2457.0
4303,2457.0
4405,2457.0
4522,2457.0
4622,2457.0
4723,2457.0
4838,2457.0
4939,2457.0
5040,2457.0
5154,2457.0
5271,2457.0
5372,2457.0
5488,2457.0
5604,2457.0
5610,1784.9700927734375
5705,1784.9700927734375
5715,2434.9951171875
5821,2434.9951171875
5922,2434.9951171875
6022,2434.9951171875
6138,2434.9951171875
6238,2434.9951171875
6339,2434.9951171875
6453,2434.9951171875
6570,2434.9951171875
6671,2434.9951171875
6787,2434.9951171875
6903,2434.9951171875
7003,2434.9951171875
7104,2434.9951171875
7204,2434.9951171875
7304,2434.9951171875
7405,2434.9951171875
7505,2434.9951171875
7605,2434.9951171875
7720,2434.9951171875
7821,2434.9951171875
7921,2434.9951171875
8036,2434.9951171875
8152,2434.9951171875
8253,2434.9951171875
8369,2434.9951171875
8471,2434.9951171875
8571,2434.9951171875
8610,2099.99267578125
8671,2099.99267578125
8771,2099.99267578125
8820,2454.97509765625
8871,2454.97509765625
8985,2454.97509765625
9102,2454.97509765625
9202,2454.97509765625
9303,2454.97509765625
9418,2454.97509765625
9519,2454.97509765625
9619,2454.97509765625
9719,2454.97509765625
9819,2454.97509765625
9934,2454.97509765625
10052,2454.97509765625
10152,2454.97509765625
10251,2454.97509765625
10365,2454.97509765625
10467,2454.97509765625
10567,2454.97509765625
10668,2454.97509765625
10768,2454.97509765625
10884,2454.97509765625
11001,2454.97509765625
11100,2454.97509765625
11216,2454.97509765625
11334,2454.97509765625
11433,2454.97509765625
11533,2454.97509765625
11635,2454.97509765625
11735,2454.97509765625
11849,2454.97509765625
11966,2454.97509765625
12067,2454.97509765625
12168,2454.97509765625
12268,2454.97509765625
12369,2454.97509765625
12436,1936.9801025390625
12483,1936.9801025390625
12582,1936.9801025390625
12640,2454.030029296875
12683,2454.030029296875
12800,2454.030029296875
12900,2454.030029296875
13016,2454.030029296875
13132,2454.030029296875
13232,2454.030029296875
13349,2454.030029296875
13466,2454.030029296875
13566,2454.030029296875
13682,2454.030029296875
13799,2454.030029296875
13899,2454.030029296875
14015,2454.030029296875
14132,2454.030029296875
14232,2454.030029296875
14348,2454.030029296875
14465,2454.030029296875
14565,2454.030029296875
14681,2454.030029296875
14781,2454.030029296875
14898,2454.030029296875
15015,2454.030029296875
15116,2454.030029296875
15217,2454.030029296875
15331,2454.030029296875
15447,2454.030029296875
15548,2454.030029296875
15648,2454.030029296875
15749,2454.030029296875
15863,2454.030029296875
15963,2454.030029296875
16064,2454.030029296875
16179,2454.030029296875
16298,2454.030029296875
16397,2454.030029296875
16497,2454.030029296875
16613,2454.030029296875
16730,2454.030029296875
16830,2454.030029296875
16947,2454.030029296875
17047,2454.030029296875
17149,2454.030029296875
17262,2454.030029296875
17363,2454.030029296875
17462,2454.030029296875
17580,2454.030029296875
17680,2454.030029296875
17780,2454.030029296875
17879,2454.030029296875
17980,2454.030029296875
18016,2016.0225830078125
18095,2016.0225830078125
18119,2443.97265625
18196,2443.97265625
18296,2443.97265625
18412,2443.97265625
18512,2443.97265625
18613,2443.97265625
18713,2443.97265625
18829,2443.97265625
18929,2443.97265625
19029,2443.97265625
19144,2443.97265625
19261,2443.97265625
19362,2443.97265625
19477,2443.97265625
19577,2443.97265625
19678,2443.97265625
19796,2443.97265625
19896,2443.97265625
19996,2443.97265625
20096,2443.97265625
20187,2022.030029296875
20211,2022.030029296875
20290,2443.97265625
20328,2443.97265625
20444,2443.97265625
20543,2443.97265625
20643,2443.97265625
20743,2443.97265625
20844,2443.97265625
20960,2443.97265625
21060,2443.97265625
21160,2443.97265625
21260,2443.97265625
21377,2443.97265625
21478,2443.97265625
21593,2443.97265625
21710,2443.97265625
21811,2443.97265625
21926,2443.97265625
22028,2443.97265625
22128,2443.97265625
22243,2443.97265625
22361,2443.97265625
22462,2443.97265625
22562,1932.99755859375
22575,1932.99755859375
22666,2443.97265625
22675,2443.97265625
22776,2443.97265625
22892,2443.97265625
22992,2443.97265625
23091,2443.97265625
23209,2443.97265625
23326,2443.97265625
23426,2443.97265625
23527,2443.97265625
23641,2443.97265625
23743,2443.97265625
23843,2443.97265625
23942,2443.97265625
24058,2443.97265625
24176,2443.97265625
24276,2443.97265625
24376,2443.97265625
24491,2443.97265625
24607,2443.97265625
24708,2443.97265625
24824,2443.97265625
24923,2443.97265625
25024,2443.97265625
25140,2443.97265625
25240,2443.97265625
25340,2443.97265625
25457,2443.97265625
25574,2443.97265625
25675,2443.97265625
25790,2443.97265625
25906,2443.97265625
26007,2443.97265625
26107,2443.97265625
26208,2443.97265625
26308,2443.97265625
26410,2443.97265625
26523,2443.97265625
26623,2443.97265625
26740,2443.97265625
26856,2443.97265625
26956,2443.97265625
27073,2443.97265625
27190,2443.97265625
27291,2443.97265625
27405,2443.97265625
27522,2443.97265625
27623,2443.97265625
27738,2443.97265625
27856,2443.97265625
27955,2443.97265625
28057,2443.97265625
28158,2443.97265625
28258,2443.97265625
28371,2443.97265625
28489,2443.97265625
28589,2443.97265625
28690,2443.97265625
28805,2443.97265625
28906,2443.97265625
29006,2443.97265625
29122,2443.97265625
29222,2443.97265625
29338,2443.97265625
29437,2443.97265625
29538,2443.97265625
29654,2443.97265625
29771,2443.97265625
29871,2443.97265625
29988,2443.97265625
30104,2443.97265625
30206,2443.97265625
30321,2443.97265625
30437,2443.97265625
30537,2443.97265625
30654,2443.97265625
30772,2443.97265625
30873,2443.97265625
30987,2443.97265625
31103,2443.97265625
31204,2443.97265625
31320,2443.97265625
31437,2443.97265625
31536,2443.97265625
31653,2443.97265625
31769,2443.97265625
31869,2443.97265625
31970,2443.97265625
32069,2443.97265625
32169,2443.97265625
32287,2443.97265625
32387,2443.97265625
32487,2443.97265625
32603,2443.97265625
32691,1913.017578125
32702,1913.017578125
